id_transaksi,id_pelanggan,kategori,channel,kuantitas,harga_satuan,diskon,total_nilai,berat_kg,segmen
1637b44b,usr-0042,olahraga,atm,13,584294.95,0.2172,5946019.13,0.23,tinggi
4ca439c5,usr-0032,elektronik,mobile,3,2385679.77,0.1846,5835849.85,3.97,tinggi
d862d2d2,usr-0013,fashion,web,16,136605.21,0.1051,1955968.04,5.22,tinggi
573e1546,usr-0057,makanan,atm,17,45961.52,0.256,581321.3,5.9,menengah
0d36455a,usr-0070,fashion,teller,11,141922.13,0.1699,1295905.16,7.85,tinggi
faa6f11b,usr-0034,olahraga,mobile,16,1075441.87,0.0508,16332950.77,0.94,tinggi
e1f6a754,usr-0080,olahraga,web,11,900373.05,0.2298,7628140.55,0.14,tinggi
5bd9e524,usr-0189,olahraga,web,1,155149.94,0.2302,119434.42,0.29,menengah
7c04667a,usr-0015,kesehatan,atm,13,222725.81,0.2761,2096005.78,0.16,tinggi
8ba12937,usr-0026,elektronik,atm,11,2180470.09,0.0703,22299013.47,0.21,tinggi
40fde4ad,usr-0001,makanan,mobile,4,54741.66,0.2913,155181.66,0.74,menengah
2c156494,usr-0094,elektronik,teller,17,2910338.25,0.0422,47387873.59,0.17,tinggi
01260805,usr-0027,fashion,mobile,2,59597.84,0.2088,94307.62,0.25,rendah
83a3595d,usr-0014,elektronik,mobile,14,4731287.3,0.0203,64893390.35,0.98,tinggi
7b9addfb,usr-0001,olahraga,atm,18,924102.63,0.0871,15185039.24,0.22,tinggi
6db229be,usr-0135,elektronik,mobile,6,3307073.51,0.0218,19409875.84,1.67,tinggi
e066706c,usr-0013,fashion,teller,13,97851.02,0.212,1002385.85,0.12,tinggi
77677ed9,usr-0058,kesehatan,atm,7,154148.73,0.065,1008903.44,2.41,tinggi
7c36dd0c,usr-0002,elektronik,mobile,13,1656030.85,0.1756,17748013.83,4.31,tinggi
153fcb99,usr-0175,otomotif,teller,14,1842948.82,0.2003,20633286.4,1.35,tinggi
a68f8d19,usr-0003,makanan,teller,6,139656.01,0.2017,668924.36,0.58,menengah
1db1d4d5,usr-0004,elektronik,mobile,9,8383946.48,0.0752,69781263.34,3.66,tinggi
53887cab,usr-0120,fashion,teller,16,710422.32,0.0193,11147378.71,7.05,tinggi
0a33a148,usr-0147,otomotif,atm,5,2564150.58,0.1789,10527120.21,1.29,tinggi
ff9ae2d2,usr-0004,fashion,mobile,1,696045.95,0.2805,500805.06,1.83,menengah
98fbf23d,usr-0020,otomotif,teller,12,2799510.47,0.245,25363564.86,7.69,tinggi
e1179132,usr-0072,makanan,atm,9,51545.5,0.0274,451198.38,3.74,menengah
8655ab2a,usr-0129,makanan,teller,19,44821.25,0.1371,734848.88,0.32,menengah
cd6e7de0,usr-0012,fashion,web,17,608068.69,0.0461,9860624.3,6.07,tinggi
b4a1f0f6,usr-0026,kesehatan,mobile,17,80382.12,0.2994,957367.13,6.96,menengah
68cfa7e7,usr-0075,olahraga,web,6,540718.12,0.027,3156712.38,4.43,tinggi
bb25cf88,usr-0072,otomotif,web,7,2728741.23,0.0786,17599835.19,3.34,tinggi
0b1115f8,usr-0089,kesehatan,mobile,7,389869.71,0.0717,2533412.36,2.15,tinggi
688fea7a,usr-0034,kesehatan,teller,19,332686.87,0.0566,5963279.07,0.44,tinggi
7b5c54ad,usr-0002,olahraga,web,8,1541703.75,0.0426,11808217.36,0.13,tinggi
bbfe7b59,usr-0142,makanan,web,19,64538.51,0.2608,906430.47,0.29,menengah
1deccdb8,usr-0123,kesehatan,mobile,6,332860.16,0.2392,1519440.06,0.61,tinggi
a26769d4,usr-0094,makanan,mobile,19,64104.75,0.1224,1068908.24,0.82,tinggi
726653d7,usr-0001,olahraga,mobile,7,1109033.11,0.2496,5825529.12,0.48,tinggi
0430a174,usr-0004,elektronik,web,16,331565.16,0.0278,5157562.38,2.81,tinggi
cd03b435,usr-0075,olahraga,atm,9,956905.17,0.2244,6679580.85,1.15,tinggi
39fd1d05,usr-0001,makanan,mobile,16,145525.04,0.2988,1632674.53,6.04,tinggi
f99c26b6,usr-0186,olahraga,mobile,19,1179620.74,0.2455,16910453.12,4.29,tinggi
7e6936a5,usr-0012,otomotif,atm,4,2483570.37,0.1673,8272276.19,0.17,tinggi
ceeea663,usr-0068,makanan,web,3,94844.19,0.2773,205631.69,0.16,menengah
53ba6043,usr-0134,elektronik,web,17,795795.95,0.0258,13179495.05,0.36,tinggi
c2c6e579,usr-0013,kesehatan,teller,10,245955.94,0.2129,1935919.2,7.57,tinggi
01eec079,usr-0008,otomotif,mobile,17,958263.57,0.2117,12841785.93,1.95,tinggi
9f63d6c2,usr-0041,makanan,web,10,22424.52,0.254,167286.92,0.13,menengah
6f285dd4,usr-0036,fashion,atm,13,458021.91,0.2782,4297802.79,0.27,tinggi
82addee5,usr-0014,fashion,atm,6,453906.48,0.2324,2090511.68,1.29,tinggi
4493a10d,usr-0040,otomotif,teller,1,2221579.71,0.2301,1710394.22,7.03,tinggi
365d127a,usr-0159,fashion,web,17,742457.75,0.2661,9263125.63,0.98,tinggi
e70db573,usr-0020,kesehatan,teller,9,164497.01,0.2547,1103396.59,3.77,tinggi
0d135000,usr-0003,fashion,mobile,14,572264.73,0.2231,6224294.56,0.41,tinggi
211bfb84,usr-0012,fashion,teller,16,55447.06,0.1549,749732.97,5.78,menengah
37d24568,usr-0013,otomotif,teller,1,1078355.65,0.151,915523.95,0.1,menengah
eaa7bb98,usr-0002,fashion,mobile,3,493910.37,0.1637,1239171.73,0.12,tinggi
7085ba9a,usr-0003,otomotif,teller,9,2347540.02,0.091,19205224.9,4.76,tinggi
908f6dff,usr-0058,makanan,atm,9,15242.25,0.1236,120224.77,0.12,menengah
f2fbb17a,usr-0009,otomotif,atm,15,1587878.31,0.0905,21662629.84,2.36,tinggi
e84793ff,usr-0171,olahraga,web,6,1355304.08,0.1144,7201543.76,2.21,tinggi
7b7fb21d,usr-0005,olahraga,atm,2,1224684.6,0.076,2263217.14,0.39,tinggi
5c0149e0,usr-0001,fashion,teller,19,259427.56,0.0203,4829062.43,3.23,tinggi
50337af6,usr-0079,fashion,atm,11,72255.22,0.2092,628533.71,0.11,menengah
b54efd3a,usr-0130,elektronik,web,13,319267.31,0.0679,3868657.78,0.15,tinggi
e5a289fe,usr-0006,otomotif,atm,7,2410215.65,0.1579,14207498.19,0.67,tinggi
36911bca,usr-0004,otomotif,web,15,680234.23,0.0687,9502532.08,6.47,tinggi
c7b640e3,usr-0003,elektronik,atm,20,3188627.27,0.235,48785997.23,1.06,tinggi
8d25dd16,usr-0027,makanan,teller,20,129166.27,0.0716,2398359.3,9.33,tinggi
256a3850,usr-0020,fashion,atm,20,61979.25,0.0797,1140790.08,0.84,tinggi
d12e1753,usr-0005,olahraga,teller,13,2483503.2,0.2177,25256979.19,7.82,tinggi
ab7d2f43,usr-0001,kesehatan,atm,2,194735.88,0.2727,283262.81,0.21,menengah
297c5c78,usr-0022,kesehatan,mobile,6,292345.58,0.2331,1345198.95,1.21,tinggi
a426844e,usr-0174,fashion,teller,14,536461.26,0.1386,6469508.21,0.27,tinggi
41919c7a,usr-0051,otomotif,teller,13,727484.76,0.185,7707701.03,0.55,tinggi
5268b1aa,usr-0023,makanan,mobile,14,33604.97,0.1429,403239.48,2.81,menengah
ec4fcab2,usr-0002,otomotif,web,4,2794639.91,0.0558,10554796.01,1.26,tinggi
c8f7f848,usr-0005,elektronik,web,14,7340366.13,0.1403,88347178.67,3.26,tinggi
