id_transaksi,id_pelanggan,kategori,channel,kota,kuantitas,harga_satuan,diskon,total_nilai,tahun,bulan,tanggal,tanggal_transaksi
6819de6c,usr-0005,makanan,mobile,Palembang,7,145002.78,0.2883,722426.04,2024,1,2024-01-02,2024-01-02
72d2638c,usr-0021,otomotif,teller,Bandung,7,962611.21,0.1295,5865498.25,2024,7,2024-07-27,2024-07-27
7d211b42,usr-0003,kesehatan,teller,Palembang,3,52198.17,0.161,131384.83,2024,7,2024-07-10,2024-07-10
0640b339,usr-0002,kesehatan,teller,Denpasar,9,490062.85,0.2765,3190993.18,2024,8,2024-08-26,2024-08-26
ddc32d31,usr-0177,fashion,mobile,Jakarta,19,453734.05,0.0449,8233589.97,2024,2,2024-02-08,2024-02-08
c196be4d,usr-0011,elektronik,web,Bandung,19,567252.0,0.0352,10398429.49,2024,8,2024-08-29,2024-08-29
2248e60e,usr-0014,otomotif,atm,Palembang,9,1493778.31,0.2913,9527193.13,2024,6,2024-06-19,2024-06-19
158d31fe,usr-0001,otomotif,mobile,Makassar,4,2025789.71,0.0981,7308100.61,2024,4,2024-04-08,2024-04-08
cb14ed8c,usr-0014,otomotif,web,Palembang,12,1274125.88,0.0977,13795607.54,2024,7,2024-07-17,2024-07-17
b290d8ee,usr-0007,fashion,teller,Denpasar,17,248907.64,0.1273,3692652.66,2024,11,2024-11-27,2024-11-27
b2a58b22,usr-0059,olahraga,atm,Medan,13,2486363.26,0.2215,25164254.87,2024,8,2024-08-23,2024-08-23
fc3ae14a,usr-0004,otomotif,mobile,Denpasar,2,2271909.7,0.101,4084948.65,2024,4,2024-04-12,2024-04-12
b423e0d6,usr-0198,olahraga,atm,Semarang,18,2343390.48,0.1376,36377978.02,2024,12,2024-12-03,2024-12-03
4b78470a,usr-0232,kesehatan,teller,Palembang,13,37162.04,0.0204,473240.6,2024,9,2024-09-27,2024-09-27
6c34f583,usr-0002,kesehatan,mobile,Denpasar,15,38799.84,0.0076,577579.29,2024,5,2024-05-26,2024-05-26
2b651e8b,usr-0002,kesehatan,atm,Denpasar,14,274769.68,0.1748,3174365.51,2024,10,2024-10-30,2024-10-30
ca42b79a,usr-0002,kesehatan,mobile,Denpasar,17,187526.11,0.2445,2408539.26,2024,11,2024-11-22,2024-11-22
892149bb,usr-0061,kesehatan,web,Surabaya,11,465471.51,0.2878,3646615.44,2024,8,2024-08-27,2024-08-27
601f993c,usr-0002,otomotif,atm,Denpasar,7,1667091.28,0.1844,9517466.71,2024,6,2024-06-12,2024-06-12
7bcfa988,usr-0172,otomotif,atm,Denpasar,8,1504631.49,0.1332,10434126.32,2024,5,2024-05-21,2024-05-21
91b3c52b,usr-0114,fashion,web,Medan,1,392541.97,0.0637,367556.15,2024,1,2024-01-10,2024-01-10
f4264b5b,usr-0151,otomotif,atm,Denpasar,18,2626273.76,0.2176,36984866.89,2024,1,2024-01-09,2024-01-09
ff8027cd,usr-0038,olahraga,web,Bandung,2,2438414.96,0.0436,4664067.02,2024,8,2024-08-19,2024-08-19
bb2acf5c,usr-0297,makanan,mobile,Bandung,7,41681.4,0.1466,249000.32,2024,11,2024-11-10,2024-11-10
a1ff116c,usr-0001,makanan,atm,Makassar,7,42652.24,0.0944,270377.35,2024,9,2024-09-27,2024-09-27
da512877,usr-0018,kesehatan,web,Jakarta,7,56930.73,0.2949,281012.27,2024,3,2024-03-27,2024-03-27
23ece6b3,usr-0011,kesehatan,teller,Bandung,18,58552.85,0.2776,761422.95,2024,7,2024-07-30,2024-07-30
fd657337,usr-0249,makanan,web,Bandung,17,129775.27,0.252,1650178.42,2024,5,2024-05-02,2024-05-02
066819a7,usr-0049,fashion,web,Medan,8,389657.67,0.0963,2816994.39,2024,9,2024-09-26,2024-09-26
c7453b08,usr-0142,elektronik,atm,Medan,8,2709090.23,0.1022,19457400.56,2024,1,2024-01-21,2024-01-21
ae0d426d,usr-0003,fashion,mobile,Palembang,1,213925.0,0.2147,167993.94,2024,3,2024-03-19,2024-03-19
d3585da8,usr-0278,makanan,atm,Denpasar,11,66088.68,0.1875,590690.98,2024,4,2024-04-04,2024-04-04
e04c3bb3,usr-0032,otomotif,teller,Yogyakarta,7,2300418.0,0.1515,13662813.08,2024,6,2024-06-13,2024-06-13
dcd6a246,usr-0032,olahraga,mobile,Yogyakarta,5,643780.01,0.2136,2531362.24,2024,1,2024-01-13,2024-01-13
ddd128e5,usr-0270,otomotif,teller,Medan,17,2454805.99,0.2068,33101982.95,2024,3,2024-03-23,2024-03-23
b8cbf51c,usr-0016,elektronik,web,Yogyakarta,1,2321016.72,0.0533,2197395.47,2024,9,2024-09-14,2024-09-14
4aebea21,usr-0018,elektronik,atm,Jakarta,13,2403932.48,0.0408,29975431.65,2024,5,2024-05-03,2024-05-03
26480cd7,usr-0051,otomotif,teller,Palembang,18,1198963.87,0.0573,20345497.9,2024,3,2024-03-26,2024-03-26
a8b35d30,usr-0002,makanan,web,Denpasar,14,82088.26,0.0042,1144361.45,2024,9,2024-09-15,2024-09-15
8e80e545,usr-0011,elektronik,web,Bandung,2,6746234.92,0.2856,9639238.98,2024,1,2024-01-25,2024-01-25
d9bb7194,usr-0004,fashion,atm,Denpasar,11,249372.91,0.1947,2208931.35,2024,12,2024-12-09,2024-12-09
9e358a3e,usr-0002,olahraga,mobile,Denpasar,4,1787187.83,0.1345,6186952.33,2024,1,2024-01-25,2024-01-25
5100f375,usr-0182,fashion,web,Yogyakarta,19,503032.97,0.0509,9070740.65,2024,7,2024-07-22,2024-07-22
8d77df3c,usr-0053,olahraga,mobile,Yogyakarta,4,2153977.83,0.1423,7389622.1,2024,10,2024-10-17,2024-10-17
b8e46d65,usr-0014,kesehatan,mobile,Palembang,20,74158.76,0.1768,1220969.72,2024,8,2024-08-05,2024-08-05
a41dcc96,usr-0019,fashion,web,Denpasar,13,596808.14,0.0373,7468869.61,2024,5,2024-05-29,2024-05-29
2ef3893b,usr-0022,fashion,atm,Palembang,12,413534.63,0.0638,4645904.12,2024,4,2024-04-07,2024-04-07
c54295a8,usr-0065,fashion,atm,Medan,17,594584.25,0.1935,8151703.57,2024,10,2024-10-06,2024-10-06
36947163,usr-0230,fashion,teller,Denpasar,3,552045.97,0.049,1574949.68,2024,10,2024-10-16,2024-10-16
cbfb42a4,usr-0235,makanan,teller,Balikpapan,16,142293.93,0.2358,1739942.86,2024,10,2024-10-17,2024-10-17
131bfa52,usr-0017,kesehatan,web,Medan,15,115952.02,0.209,1375746.24,2024,1,2024-01-06,2024-01-06
