id_transaksi,id_pelanggan,tanggal,kategori,total_nilai,kota
TRX-00001,PLG-0001,2024-05-27,Otomotif,6227899.0,Makassar
TRX-00002,PLG-0002,2024-02-05,Makanan,598964.59,Denpasar
TRX-00003,PLG-0001,2024-11-18,Elektronik,74388649.18,Makassar
TRX-00004,PLG-0017,2024-06-16,Makanan,184138.71,Medan
TRX-00005,PLG-0001,2024-03-02,Fashion,1667461.44,Makassar
TRX-00006,PLG-0009,2024-10-01,Elektronik,3941338.01,Palembang
TRX-00007,PLG-0019,2024-11-26,Fashion,1348066.25,Denpasar
TRX-00008,PLG-0012,2024-11-18,Fashion,1654057.82,Denpasar
TRX-00009,PLG-0002,2024-04-16,Fashion,7790122.76,Denpasar
TRX-00010,PLG-0027,2024-12-26,Olahraga,13477448.47,Medan
TRX-00011,PLG-0020,2024-07-05,Elektronik,32447630.51,Denpasar
TRX-00012,PLG-0022,2024-10-08,Fashion,1423804.48,Palembang
TRX-00013,PLG-0001,2024-10-25,Elektronik,16906145.5,Makassar
TRX-00014,PLG-0001,2024-05-13,Otomotif,1826815.67,Makassar
TRX-00015,PLG-0041,2024-05-11,Fashion,3096994.99,Balikpapan
TRX-00016,PLG-0005,2024-11-12,Kesehatan,5054226.12,Palembang
TRX-00017,PLG-0003,2024-03-04,Kesehatan,5474654.64,Palembang
TRX-00018,PLG-0008,2024-11-21,Fashion,7140547.17,Balikpapan
TRX-00019,PLG-0016,2024-11-27,Fashion,2953072.54,Yogyakarta
TRX-00020,PLG-0044,2024-07-02,Fashion,2100308.39,Surabaya
TRX-00021,PLG-0003,2024-08-06,Otomotif,36724519.45,Palembang
TRX-00022,PLG-0040,2024-03-07,Olahraga,11178451.7,Semarang
TRX-00023,PLG-0001,2024-09-18,Fashion,6619157.16,Makassar
TRX-00024,PLG-0011,2024-07-19,Makanan,544608.51,Bandung
TRX-00025,PLG-0015,2024-12-28,Otomotif,16053538.23,Semarang
TRX-00026,PLG-0001,2024-08-12,Otomotif,20599225.93,Makassar
TRX-00027,PLG-0001,2024-05-11,Olahraga,23919787.66,Makassar
TRX-00028,PLG-0006,2024-03-16,Elektronik,29462064.01,Yogyakarta
TRX-00029,PLG-0046,2024-02-16,Fashion,3822832.95,Surabaya
TRX-00030,PLG-0013,2024-12-13,Makanan,412397.84,Semarang
TRX-00031,PLG-0041,2024-02-17,Elektronik,25500418.8,Balikpapan
TRX-00032,PLG-0027,2024-11-01,Makanan,1361540.68,Medan
TRX-00033,PLG-0008,2024-06-16,Kesehatan,2468804.25,Balikpapan
TRX-00034,PLG-0025,2024-02-25,Olahraga,23687395.84,Denpasar
TRX-00035,PLG-0001,2024-10-28,Elektronik,35667705.59,Makassar
TRX-00036,PLG-0001,2024-01-27,Otomotif,14008569.68,Makassar
